Transaction,Item,date_time,period_day,weekday_weekend,weekday
1,Bread,2016-10-30 09:58:11,morning,weekend,6
2,Scandinavian,2016-10-30 10:05:34,morning,weekend,6
2,Scandinavian,2016-10-30 10:05:34,morning,weekend,6
3,Hot chocolate,2016-10-30 10:07:57,morning,weekend,6
3,Jam,2016-10-30 10:07:57,morning,weekend,6
3,Cookies,2016-10-30 10:07:57,morning,weekend,6
4,Muffin,2016-10-30 10:08:41,morning,weekend,6
5,Coffee,2016-10-30 10:13:03,morning,weekend,6
5,Pastry,2016-10-30 10:13:03,morning,weekend,6
5,Bread,2016-10-30 10:13:03,morning,weekend,6
6,Medialuna,2016-10-30 10:16:55,morning,weekend,6
6,Pastry,2016-10-30 10:16:55,morning,weekend,6
6,Muffin,2016-10-30 10:16:55,morning,weekend,6
7,Medialuna,2016-10-30 10:19:12,morning,weekend,6
7,Pastry,2016-10-30 10:19:12,morning,weekend,6
7,Coffee,2016-10-30 10:19:12,morning,weekend,6
7,Tea,2016-10-30 10:19:12,morning,weekend,6
8,Pastry,2016-10-30 10:20:51,morning,weekend,6
8,Bread,2016-10-30 10:20:51,morning,weekend,6
9,Bread,2016-10-30 10:21:59,morning,weekend,6
9,Muffin,2016-10-30 10:21:59,morning,weekend,6
10,Scandinavian,2016-10-30 10:25:58,morning,weekend,6
10,Medialuna,2016-10-30 10:25:58,morning,weekend,6
11,Bread,2016-10-30 10:27:21,morning,weekend,6
11,Medialuna,2016-10-30 10:27:21,morning,weekend,6
11,Bread,2016-10-30 10:27:21,morning,weekend,6
12,Jam,2016-10-30 10:30:14,morning,weekend,6
12,Coffee,2016-10-30 10:30:14,morning,weekend,6
12,Tartine,2016-10-30 10:30:14,morning,weekend,6
12,Pastry,2016-10-30 10:30:14,morning,weekend,6
12,Tea,2016-10-30 10:30:14,morning,weekend,6
13,Basket,2016-10-30 10:31:24,morning,weekend,6
13,Bread,2016-10-30 10:31:24,morning,weekend,6
13,Coffee,2016-10-30 10:31:24,morning,weekend,6
14,Bread,2016-10-30 10:32:46,morning,weekend,6
14,Medialuna,2016-10-30 10:32:46,morning,weekend,6
14,Pastry,2016-10-30 10:32:46,morning,weekend,6
15,Mineral water,2016-10-30 10:34:36,morning,weekend,6
15,Scandinavian,2016-10-30 10:34:36,morning,weekend,6
16,Bread,2016-10-30 10:37:08,morning,weekend,6
16,Medialuna,2016-10-30 10:37:08,morning,weekend,6
16,Coffee,2016-10-30 10:37:08,morning,weekend,6
17,Hot chocolate,2016-10-30 10:38:04,morning,weekend,6
18,Farm House,2016-10-30 10:41:56,morning,weekend,6
19,Farm House,2016-10-30 10:43:08,morning,weekend,6
19,Bread,2016-10-30 10:43:08,morning,weekend,6
20,Bread,2016-10-30 10:45:22,morning,weekend,6
20,Medialuna,2016-10-30 10:45:22,morning,weekend,6
21,Coffee,2016-10-30 10:49:29,morning,weekend,6
21,Coffee,2016-10-30 10:49:29,morning,weekend,6
21,Medialuna,2016-10-30 10:49:29,morning,weekend,6
21,Bread,2016-10-30 10:49:29,morning,weekend,6
22,Jam,2016-10-30 10:52:15,morning,weekend,6
23,Scandinavian,2016-10-30 10:53:49,morning,weekend,6
23,Muffin,2016-10-30 10:53:49,morning,weekend,6
24,Bread,2016-10-30 10:54:33,morning,weekend,6
25,Scandinavian,2016-10-30 10:55:22,morning,weekend,6
26,Fudge,2016-10-30 10:56:08,morning,weekend,6
27,Scandinavian,2016-10-30 11:02:19,morning,weekend,6
28,Coffee,2016-10-30 11:03:24,morning,weekend,6
28,Bread,2016-10-30 11:03:24,morning,weekend,6
29,Bread,2016-10-30 11:05:30,morning,weekend,6
29,Jam,2016-10-30 11:05:30,morning,weekend,6
30,Bread,2016-10-30 11:07:19,morning,weekend,6
31,Basket,2016-10-30 11:12:56,morning,weekend,6
32,Scandinavian,2016-10-30 11:16:15,morning,weekend,6
32,Muffin,2016-10-30 11:16:15,morning,weekend,6
33,Coffee,2016-10-30 11:22:49,morning,weekend,6
34,Coffee,2016-10-30 11:25:45,morning,weekend,6
34,Muffin,2016-10-30 11:25:45,morning,weekend,6
35,Muffin,2016-10-30 11:27:34,morning,weekend,6
35,Scandinavian,2016-10-30 11:27:34,morning,weekend,6
36,Tea,2016-10-30 11:33:08,morning,weekend,6
36,Bread,2016-10-30 11:33:08,morning,weekend,6
37,Coffee,2016-10-30 11:37:10,morning,weekend,6
37,Bread,2016-10-30 11:37:10,morning,weekend,6
38,Bread,2016-10-30 11:42:40,morning,weekend,6
38,Tea,2016-10-30 11:42:40,morning,weekend,6
39,Scandinavian,2016-10-30 11:44:31,morning,weekend,6
40,Juice,2016-10-30 11:55:51,morning,weekend,6
40,Tartine,2016-10-30 11:55:51,morning,weekend,6
40,Coffee,2016-10-30 11:55:51,morning,weekend,6
40,Muffin,2016-10-30 11:55:51,morning,weekend,6
41,Scandinavian,2016-10-30 11:57:06,morning,weekend,6
42,Bread,2016-10-30 11:57:45,morning,weekend,6
42,Tea,2016-10-30 11:57:45,morning,weekend,6
43,Scandinavian,2016-10-30 12:00:22,afternoon,weekend,6
43,Fudge,2016-10-30 12:00:22,afternoon,weekend,6
44,Coffee,2016-10-30 12:05:47,afternoon,weekend,6
44,Medialuna,2016-10-30 12:05:47,afternoon,weekend,6
45,Coffee,2016-10-30 12:08:36,afternoon,weekend,6
45,Hot chocolate,2016-10-30 12:08:36,afternoon,weekend,6
45,Medialuna,2016-10-30 12:08:36,afternoon,weekend,6
46,Coffee,2016-10-30 12:09:04,afternoon,weekend,6
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,afternoon,weekend,6
47,Juice,2016-10-30 12:15:29,afternoon,weekend,6
47,Bread,2016-10-30 12:15:29,afternoon,weekend,6
47,Muffin,2016-10-30 12:15:29,afternoon,weekend,6
47,Jam,2016-10-30 12:15:29,afternoon,weekend,6
48,Coffee,2016-10-30 12:17:02,afternoon,weekend,6
49,Coffee,2016-10-30 12:23:01,afternoon,weekend,6
49,Coffee,2016-10-30 12:23:01,afternoon,weekend,6
49,Medialuna,2016-10-30 12:23:01,afternoon,weekend,6
50,Bread,2016-10-30 12:25:11,afternoon,weekend,6
50,Victorian Sponge,2016-10-30 12:25:11,afternoon,weekend,6
51,Bread,2016-10-30 12:26:58,afternoon,weekend,6
52,Scandinavian,2016-10-30 12:28:07,afternoon,weekend,6
54,Bread,2016-10-30 12:33:08,afternoon,weekend,6
55,Frittata,2016-10-30 12:38:06,afternoon,weekend,6
55,Coffee,2016-10-30 12:38:06,afternoon,weekend,6
55,Tea,2016-10-30 12:38:06,afternoon,weekend,6
55,Hearty & Seasonal,2016-10-30 12:38:06,afternoon,weekend,6
56,Coffee,2016-10-30 12:39:27,afternoon,weekend,6
56,Frittata,2016-10-30 12:39:27,afternoon,weekend,6
57,Scandinavian,2016-10-30 12:45:48,afternoon,weekend,6
58,Victorian Sponge,2016-10-30 12:59:29,afternoon,weekend,6
58,Hot chocolate,2016-10-30 12:59:29,afternoon,weekend,6
58,Tea,2016-10-30 12:59:29,afternoon,weekend,6
58,Soup,2016-10-30 12:59:29,afternoon,weekend,6
59,Tea,2016-10-30 13:02:04,afternoon,weekend,6
60,Cookies,2016-10-30 13:14:04,afternoon,weekend,6
60,Coffee,2016-10-30 13:14:04,afternoon,weekend,6
60,Juice,2016-10-30 13:14:04,afternoon,weekend,6
60,Coffee,2016-10-30 13:14:04,afternoon,weekend,6
61,Coffee,2016-10-30 13:15:38,afternoon,weekend,6
62,Pick and Mix Bowls,2016-10-30 13:24:00,afternoon,weekend,6
62,Hearty & Seasonal,2016-10-30 13:24:00,afternoon,weekend,6
62,Hearty & Seasonal,2016-10-30 13:24:00,afternoon,weekend,6
62,Coffee,2016-10-30 13:24:00,afternoon,weekend,6
62,Smoothies,2016-10-30 13:24:00,afternoon,weekend,6
62,Coffee,2016-10-30 13:24:00,afternoon,weekend,6
63,Coffee,2016-10-30 13:33:12,afternoon,weekend,6
64,Cake,2016-10-30 13:34:07,afternoon,weekend,6
65,Tartine,2016-10-30 13:37:25,afternoon,weekend,6
65,Mighty Protein,2016-10-30 13:37:25,afternoon,weekend,6
65,Tea,2016-10-30 13:37:25,afternoon,weekend,6
65,Coffee,2016-10-30 13:37:25,afternoon,weekend,6
66,Hearty & Seasonal,2016-10-30 13:40:20,afternoon,weekend,6
66,Frittata,2016-10-30 13:40:20,afternoon,weekend,6
66,Mineral water,2016-10-30 13:40:20,afternoon,weekend,6
67,Hearty & Seasonal,2016-10-30 13:46:48,afternoon,weekend,6
67,Mineral water,2016-10-30 13:46:48,afternoon,weekend,6
67,Muffin,2016-10-30 13:46:48,afternoon,weekend,6
68,Frittata,2016-10-30 13:49:36,afternoon,weekend,6
68,Coffee,2016-10-30 13:49:36,afternoon,weekend,6
68,Tea,2016-10-30 13:49:36,afternoon,weekend,6
68,Scandinavian,2016-10-30 13:49:36,afternoon,weekend,6
68,Chicken sand,2016-10-30 13:49:36,afternoon,weekend,6
69,Bread,2016-10-30 13:51:49,afternoon,weekend,6
69,Tea,2016-10-30 13:51:49,afternoon,weekend,6
69,Victorian Sponge,2016-10-30 13:51:49,afternoon,weekend,6
70,Fudge,2016-10-30 13:54:42,afternoon,weekend,6
71,Muffin,2016-10-30 13:56:08,afternoon,weekend,6
72,Coffee,2016-10-30 14:21:38,afternoon,weekend,6
72,Bread,2016-10-30 14:21:38,afternoon,weekend,6
73,Bread,2016-10-30 14:22:39,afternoon,weekend,6
