Transaction,Item,date_time,period_day,weekday_weekend,weekday,wind,condition,temp_f,temp_c,dew_point_f,dew_point_c,wind_speed_mph,wind_gust_mph,wind_speed_kmh,wind_gust_kmh,humidity_%,pressure_in,precipitation_in,precipitation_accumulation_in
1,Bread,2016-10-30 09:58:11,morning,weekend,6,VAR,Fair,54,12.0,50,10.0,3,0,4.82802,0.0,0.88,30,0,0
2,Scandinavian,2016-10-30 10:05:34,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
2,Scandinavian,2016-10-30 10:05:34,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
3,Hot chocolate,2016-10-30 10:07:57,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
3,Jam,2016-10-30 10:07:57,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
3,Cookies,2016-10-30 10:07:57,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
4,Muffin,2016-10-30 10:08:41,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
5,Coffee,2016-10-30 10:13:03,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
5,Pastry,2016-10-30 10:13:03,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
5,Bread,2016-10-30 10:13:03,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
6,Medialuna,2016-10-30 10:16:55,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
6,Pastry,2016-10-30 10:16:55,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
6,Muffin,2016-10-30 10:16:55,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
7,Medialuna,2016-10-30 10:19:12,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
7,Pastry,2016-10-30 10:19:12,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
7,Coffee,2016-10-30 10:19:12,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
7,Tea,2016-10-30 10:19:12,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
8,Pastry,2016-10-30 10:20:51,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
8,Bread,2016-10-30 10:20:51,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
9,Bread,2016-10-30 10:21:59,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
9,Muffin,2016-10-30 10:21:59,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
10,Scandinavian,2016-10-30 10:25:58,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
10,Medialuna,2016-10-30 10:25:58,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
11,Bread,2016-10-30 10:27:21,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
11,Medialuna,2016-10-30 10:27:21,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
11,Bread,2016-10-30 10:27:21,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
12,Jam,2016-10-30 10:30:14,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
12,Coffee,2016-10-30 10:30:14,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
12,Tartine,2016-10-30 10:30:14,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
12,Pastry,2016-10-30 10:30:14,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
12,Tea,2016-10-30 10:30:14,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
13,Basket,2016-10-30 10:31:24,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
13,Bread,2016-10-30 10:31:24,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
13,Coffee,2016-10-30 10:31:24,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
14,Bread,2016-10-30 10:32:46,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
14,Medialuna,2016-10-30 10:32:46,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
14,Pastry,2016-10-30 10:32:46,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
15,Mineral water,2016-10-30 10:34:36,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
15,Scandinavian,2016-10-30 10:34:36,morning,weekend,6,WSW,Fair,54,12.0,50,10.0,5,0,8.0467,0.0,0.88,30,0,0
16,Bread,2016-10-30 10:37:08,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
16,Medialuna,2016-10-30 10:37:08,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
16,Coffee,2016-10-30 10:37:08,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
17,Hot chocolate,2016-10-30 10:38:04,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
18,Farm House,2016-10-30 10:41:56,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
19,Farm House,2016-10-30 10:43:08,morning,weekend,6,W,Fair,55,13.0,50,10.0,5,0,8.0467,0.0,0.82,30,0,0
